data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8974302,854,BFO6949,6949,31-Mar-22,2022,1,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Sahel),,2,Civilians (Burkina Faso),Miners (Burkina Faso),7,27,Western Africa,Burkina Faso,Centre-Nord,Namentenga,Bouroum,Barga-Mossi,13.6451,-0.7156,2,Facebook; L'Observateur Paalga; Infowakat; MinuteBf; AIB (Burkina Faso),New media-National,"On 31 March 2022, presumed JNIM or IS Sahel militants attacked the mining site of Kougdiguin/Pougdrin, near the village of Barga-Mossi (Bouroum, Namentenga). More than twenty people were killed and about twenty wounded, among them women and children.",20,1649088162,BFA
8974306,854,BFO6964,6964,31-Mar-22,2022,1,Strategic developments,Looting/property destruction,JNIM: Group for Support of Islam and Muslims,,2,Police Forces of Burkina Faso (2022-) Gendarmerie,,1,12,Western Africa,Burkina Faso,Est,Tapoa,Partiaga,Partiaga,11.9333,1.6167,1,Gulmu Info; Facebook; Undisclosed Source,Local partner-Other,"Looting: On 31 March 2022, presumed JNIM militants attacked the gendarmerie building while unmanned in the town of Partiaga (Partiaga, Tapoa). The militants burned the facility and looted materiel.",0,1649088162,BFA
8974377,566,NIG24258,24258,31-Mar-22,2022,2,Battles,Armed clash,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,2,Islamic State (West Africa) - Lake Chad Faction,,2,22,Western Africa,Nigeria,Borno,Abadan,,Abadam,13.6169,13.2644,2,Daily Post (Nigeria); Sahara Reporters; Daily Leadership (Nigeria),National-Regional,"Around 31 March 2022 (as reported), Boko Haram militants loyal to Buduma ambushed and killed scores of ISWAP militants in a renewed supremacy conflict; other sources report at least 50 fatalities. Some ISWAP militants were burned in their gun trucks, others were killed and buried around Lake Chad. Location coded near the Lake Chad, to Abadam (Abadan, Borno). Scores of fatalities coded as 20.",20,1649088162,NGA
8974378,566,NIG24259,24259,31-Mar-22,2022,1,Battles,Armed clash,Unidentified Armed Group (Nigeria),,3,Police Forces of Nigeria (2015-),Police Forces of Nigeria (2015-) Nigeria Customs Service; Issele Azagba Communal Militia (Nigeria),1,13,Western Africa,Nigeria,Delta,Aniocha South,,Issele-Azagba,6.2658,6.5973,2,Nigeria Punch; Guardian (Nigeria),National,"On 31 March 2022, armed individuals attacked security operatives comprised of policemen, customs operatives and a local defense militia at a checkpoint along the Issele-Azagba road, in or around Issele-Azagba (Aniocha South, Delta). The assailants shot indiscriminately, one customs van was set ablaze, one policeman was killed and his rifle was stolen.",1,1649088162,NGA
8974400,566,NIG24300,24300,31-Mar-22,2022,1,Strategic developments,Disrupted weapons use,Police Forces of Nigeria (2015-),,1,Unidentified Armed Group (Nigeria),,3,13,Western Africa,Nigeria,Kaduna,Igabi,,Rigasa,10.5422,7.3302,1,Sahara Reporters; Daily Trust (Nigeria); Nigeria Punch,National-Regional,"Defusal: On 31 March 2022, operatives of the anti-bomb unit of the Nigeria police defused an IED planted by an unidentified group that was discovered along Shanono area of Rigasa (Igabi, Kaduna) without any incident.",0,1649088162,NGA
8974403,566,NIG24309,24309,31-Mar-22,2022,1,Riots,Mob violence,Rioters (Nigeria),,5,Kaduna Communal Militia (Nigeria),,4,45,Western Africa,Nigeria,Kaduna,Chikun,,Sabon Tasha,10.4371,7.461,2,Daily Post (Nigeria); Sahara Reporters,National-Regional,"On 31 March 2022, a group of locals fought Kaduna militiamen in Unguwar Bulus and Unguwar Gwari, coded to nearby Sabon Tasha (Chikun, Kaduna). Three civilians were killed; one militiamen was killed by the residents; 20 others, including a retired police officer, were abducted. [size=no report]",4,1649088162,NGA
8974482,566,NIG24323,24323,31-Mar-22,2022,1,Protests,Peaceful protest,Protesters (Nigeria),NURTW: National Union of Road Transport Workers; Labour Group (Nigeria),6,,,0,60,Western Africa,Nigeria,Ondo,Owo,,Owo,7.1962,5.5868,1,Daily Independent (Nigeria),National,"On 31 March 2022, NURTW members in Ondo state protested in Owo (Owo, Ondo) against plans by the state government to impose the immediate past chairman of the union for a second term. [size=no report]",0,1649088163,NGA
8974487,566,NIG24324,24324,31-Mar-22,2022,1,Protests,Peaceful protest,Protesters (Nigeria),,6,,,0,60,Western Africa,Nigeria,Oyo,Ibadan North,,Agodi,7.4035,3.9132,1,Daily Leadership (Nigeria),National,"On 31 March 2022, parents of Ibadan Government College students protested at the state secretariat in Agodi (Ibadan North, Oyo) against the decision of the government to handover the school to its alumni association. [size=no report]",0,1649088163,NGA
8974499,566,NIG24322,24322,31-Mar-22,2022,1,Protests,Peaceful protest,Protesters (Nigeria),,6,,,0,60,Western Africa,Nigeria,Ondo,Irele,,Akotogbo,6.3823,5.0435,1,Daily Post (Nigeria),National,"On 31 March 2022, hundreds of youths protested on the streets of Akotogbo (Irele, Ondo) over the state government's negligence of the town. The protesters promised to disrupt political activities in the town ahead of the 2023 elections. [size=hundreds]",0,1649088163,NGA
8974505,566,NIG24310,24310,31-Mar-22,2022,1,Riots,Mob violence,Rioters (Nigeria),Vigilante Group (Nigeria),5,Civilians (Nigeria),,7,57,Western Africa,Nigeria,Kwara,Ilorin West,,Ilorin,8.4875,4.5235,1,Daily Trust (Nigeria),National,"On 31 March 2022, youths burnt down the house of a man in Oloje area of Ilorin (Ilorin West, Kwara) after his son stabbed his friend to death. [size=no report]",0,1649088163,NGA
