data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,notes_fr
8705324,478,MAA1295,1295,31/12/2021,2021,2,Protests,Peaceful protest,Protesters (Mauritania),,6,,,0,60,Western Africa,Mauritania,Nouakchott-Ouest,Nouakchott,Nouakchott,Nouakchott,18.0801,-15.9777,1,Adrar Info,National,"Around 31 December 2021 (as reported), creditors of Cheikh Ridha started an open sit-in at the old airport in Nouakchott (Nouakchott), protesting against the lack of progress and support from the authorities in paying off his debts. [size=no report]",0,1641863885,MRT,"[{'translation_text': ""Vers le 31 décembre 2021 (comme on l'a signalé), les créanciers de Cheikh Ridha ont lancé une protestation ouverte à l'ancien aéroport de Nouakchott (Nouakchott), protestant contre l'absence de progrès et d'appui de la part des autorités pour rembourser ses dettes. [size=no report]""}]"
8705857,466,MLI6030,6030,31/12/2021,2021,1,Battles,Armed clash,Military Forces of Mali (2021-),,1,JNIM: Group for Support of Islam and Muslims,,2,12,Western Africa,Mali,Mopti,Bandiagara,Timiri,Diangassagou,13.9964,-3.9414,2,FAMAMali,National,"On 31 December 2021, the Malian army foiled an attempt by presumed JNIM militant to set up an IED ambush in the area of Diangassagou (Bandiagara, Mopti). The soldiers killed 16 militants and seized weapons.",16,1641863886,MLI,"[{'translation_text': ""Le 31 décembre 2021, l'armée malienne a échoué à une tentative d'un militant présumé du JNIM de mettre en place une embuscade d'IED dans la région de Diangassagou (Bandiagara, Mopti), tuant 16 militants et saisissant des armes.""}]"
8706204,288,GHA1362,1362,31/12/2021,2021,1,Battles,Armed clash,Unidentified Armed Group (Ghana),,3,Private Security Forces (Ghana),,8,38,Western Africa,Ghana,Greater Accra,Accra,,Accra,5.556,-0.1969,1,My Joy Online,Subnational,"On 31 December 2021, gunmen clashed with private security guards during an attack on a block factory in the Millennium City neighborhood of Accra city (Accra, Greater Accra). The group burnt the factory. The police forces later arrested one of the perpetrators.",0,1641863887,GHA,"[{'translation_text': ""Le 31 décembre 2021, des hommes armés ont eu des affrontements avec des gardiens de sécurité privés lors d'une attaque contre une usine située dans le quartier de la ville d'Accra (Accra, grand Accra), qui a incendié l'usine, et les forces de police ont ensuite arrêté l'un des auteurs de cette attaque.""}]"
8706259,566,NIG23106,23106,31/12/2021,2021,1,Riots,Mob violence,Rioters (Nigeria),,5,Amotekun Corps,,1,15,Western Africa,Nigeria,Osun,Osogbo,,Oshogbo,7.7667,4.5667,1,Nigeria Punch,National,"On 31 December 2021, a mob attacked Amotekun operatives at Olaiya area of Oshogbo (Osogbo, Osun). The operatives were trying to retrieve tools seized by the mob. One rioter was killed, five persons including one Amotekun operative were wounded. [size=no report]",1,1641863887,NGA,"[{'translation_text': ""Le 31 décembre 2021, une foule a attaqué des agents d'Amotekun dans la région d'Olaiya d'Oshogbo (Osogbo, Osun) et tentait de récupérer des outils saisis par la foule. Un émeuteur a été tué et cinq personnes, dont un agent d'Amotekun, ont été blessées. [size=no""}]"
8706524,566,NIG23102,23102,31/12/2021,2021,1,Riots,Violent demonstration,Rioters (Nigeria),,5,Civilians (Nigeria),,7,57,Western Africa,Nigeria,Bauchi,Bogoro,,Bogoro,9.6667,9.6,1,Sahara Reporters,Regional,"On 31 December 2021, a mob demonstrated and destroyed properties in Bogoro (Bogoro, Bauchi) over the exclusion of some locals in the planning and execution of a program. [size=no report]",0,1641863887,NGA,"[{'translation_text': ""Le 31 décembre 2021, une foule a démontré et détruit des propriétés à Bogoro (Bogoro, Bauchi) en raison de l'exclusion de certains habitants dans la planification et l'exécution d'un programme. [dimension=pas de rapport]""}]"
8706560,562,NIR14294,14294,31/12/2021,2021,1,Violence against civilians,Attack,Islamic State (West Africa) - Greater Sahara Faction,,2,Civilians (Niger),Tarkassa Communal Group (Niger),7,27,Western Africa,Niger,Tillaberi,Filingue,Filingue,Tarkassa,14.4637,3.3146,1,Signal,New media,"On 31 December 2021, ISWAP (Greater Sahara) militants tortured the village chief in the village of Tarkassa (Filingue, Tillaberi).",0,1641863888,NER,"[{'translation_text': ""Le 31 décembre 2021, des militants de l'ISWAP (Greater Sahara) ont torturé le chef de village dans le village de Tarkassa (Filingue, Tillaberi).""}]"
8706884,854,BFO6126,6126,31/12/2021,2021,1,Explosions/Remote violence,Air/drone strike,Military Forces of Burkina Faso (2015-),,1,JNIM: Group for Support of Islam and Muslims,,2,12,Western Africa,Burkina Faso,Nord,Loroum,Titao,Babo,13.8455,-1.9055,2,Undisclosed Source,Local partner-Other,"On 31 December 2021, the Burkinabe air force conducted airstrike against presumed JNIM militant positions in the area of Babo (Titao, Loroum). Casualties unknown.",0,1641863888,BFA,"[{'translation_text': ""Le 31 décembre 2021, l'armée de l'air burkinabè a procédé à une frappe aérienne contre des positions militantes présumées du JNIM dans la région de Babo (Titao, Loroum).""}]"
8706897,854,BFO6130,6130,31/12/2021,2021,1,Explosions/Remote violence,Air/drone strike,Military Forces of Burkina Faso (2015-),,1,JNIM: Group for Support of Islam and Muslims,,2,12,Western Africa,Burkina Faso,Nord,Loroum,Ouindigui,Sirfou,13.7427,-1.9017,2,Undisclosed Source,Local partner-Other,"On 31 December 2021, the Burkinabe air force conducted airstrike against presumed JNIM militant positions in the area of Sirfou (Ouindigui, Loroum). Casualties unknown.",0,1641863888,BFA,"[{'translation_text': ""Le 31 décembre 2021, l'armée de l'air burkinabè a procédé à une frappe aérienne contre des positions militantes présumées du JNIM dans la région de Sirfou (Ouindigui, Loroum).""}]"
8706980,854,BFO6128,6128,31/12/2021,2021,1,Explosions/Remote violence,Air/drone strike,Military Forces of Burkina Faso (2015-),,1,JNIM: Group for Support of Islam and Muslims,,2,12,Western Africa,Burkina Faso,Nord,Loroum,Titao,Mantaka,13.8711,-2.1594,2,Undisclosed Source,Local partner-Other,"On 31 December 2021, the Burkinabe air force conducted airstrike against presumed JNIM militant positions in the area of Mantaka (Titao, Loroum). Casualties unknown.",0,1641863889,BFA,"[{'translation_text': ""Le 31 décembre 2021, l'armée de l'air burkinabè a procédé à une frappe aérienne contre des positions militantes présumées du JNIM dans la région de Mantaka (Titao, Loroum).""}]"
8707080,854,BFO6131,6131,31/12/2021,2021,1,Explosions/Remote violence,Air/drone strike,Military Forces of Burkina Faso (2015-),,1,JNIM: Group for Support of Islam and Muslims,,2,12,Western Africa,Burkina Faso,Nord,Loroum,Titao,Tougri-Boule,13.9756,-2.0046,2,Undisclosed Source,Local partner-Other,"On 31 December 2021, the Burkinabe air force conducted airstrike against presumed JNIM militant positions in the area of Tougri-Boule (Titao, Loroum). Casualties unknown.",0,1641863889,BFA,"[{'translation_text': ""Le 31 décembre 2021, l'armée de l'air burkinabè a procédé à une frappe aérienne contre des positions militantes présumées du JNIM dans la région de Tougri-Boule (Titao, Loroum).""}]"
